S. No.,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death
1,12/03/2020,India,74,71,3,0
2,13/03/2020,India,75,71,3,1
3,14/03/2020,India,84,72,10,2
4,15/03/2020,India,107,95,10,2
5,16/03/2020,India,114,99,13,2
6,17/03/2020,India,137,120,14,3
7,18/03/2020,India,146,129,14,3
8,19/03/2020,India,166,148,15,3
9,20/03/2020,India,195,171,20,4
10,21/03/2020,India,258,231,23,4
11,22/03/2020,India,360,329,24,7
12,23/03/2020,India,433,402,24,7
13,24/03/2020,India,492,446,37,9
14,25/03/2020,India,519,469,40,10
15,26/03/2020,India,649,593,43,13
16,27/03/2020,India,724,640,67,17
17,28/03/2020,India,909,810,80,19
18,29/03/2020,India,979,867,87,25
19,30/03/2020,India,1071,942,100,29
20,31/03/2020,India,1397,1238,124,35
21,01/04/2020,India,1637,1466,133,38
22,02/04/2020,India,1965,1764,151,50
23,03/04/2020,India,2301,2088,157,56
24,04/04/2020,India,2902,2650,184,68
25,05/04/2020,India,3374,3030,267,77
26,06/04/2020,India,4067,3666,292,109
27,07/04/2020,India,4421,3981,326,114
28,08/04/2020,India,5194,4643,402,149
29,09/04/2020,India,5734,5095,473,166
30,10/04/2020,India,6412,5709,504,199
31,11/04/2020,India,7447,6565,643,239
32,12/04/2020,India,8356,7367,716,273
33,13/04/2020,India,9152,7987,857,308
34,14/04/2020,India,10363,8988,1036,339
35,15/04/2020,India,11439,9756,1306,377
36,16/04/2020,India,12380,10477,1489,414
37,17/04/2020,India,13387,11201,1749,437
38,18/04/2020,India,14378,11906,1992,480
39,19/04/2020,India,15712,12974,2231,507
40,20/04/2020,India,17265,14175,2547,543
41,21/04/2020,India,18601,14759,3252,590
42,22/04/2020,India,19984,15474,3870,640
43,23/04/2020,India,21393,16454,4258,681
44,24/04/2020,India,23077,17610,4749,718
45,25/04/2020,India,24506,18668,5063,775
46,26/04/2020,India,26496,19868,5804,824
47,27/04/2020,India,27892,20835,6185,872
48,28/04/2020,India,29435,21632,6869,934
49,29/04/2020,India,31332,22629,7696,1007
50,30/04/2020,India,33050,23651,8325,1074
51,01/05/2020,India,35043,25007,8889,1147
52,02/05/2020,India,37336,26167,9951,1218
53,03/05/2020,India,39980,28046,10633,1301
54,04/05/2020,India,42533,29453,11707,1373
55,05/05/2020,India,46433,32138,12727,1568
56,06/05/2020,India,49390,33513,14183,1694
57,07/05/2020,India,52951,35901,15267,1783
58,08/05/2020,India,56341,37915,16540,1886
59,09/05/2020,India,59662,39834,17847,1981
60,10/05/2020,India,62939,41472,19358,2109
61,11/05/2020,India,67152,44029,20917,2206
62,12/05/2020,India,70756,46008,22455,2293
63,13/05/2020,India,74281,47480,24386,2415
64,14/05/2020,India,78003,49219,26235,2549
65,15/05/2020,India,81970,51401,27920,2649
66,16/05/2020,India,85940,53035,30153,2752
67,17/05/2020,India,90927,53946,34109,2872
68,18/05/2020,India,96169,56316,36824,3029
69,19/05/2020,India,101139,58802,39174,3163
70,20/05/2020,India,106750,61149,42298,3303
71,21/05/2020,India,112359,63624,45300,3435
72,22/05/2020,India,118447,66330,48534,3583
73,23/05/2020,India,125101,69597,51784,3720
74,24/05/2020,India,131868,73560,54441,3867
75,25/05/2020,India,138845,77103,57721,4021
76,26/05/2020,India,145380,80722,60491,4167
77,27/05/2020,India,151767,83004,64426,4337
78,28/05/2020,India,158333,86110,67692,4531
79,29/05/2020,India,165799,89987,71106,4706
80,30/05/2020,India,173763,86422,82370,4971
81,31/05/2020,India,182143,89995,86984,5164
82,01/06/2020,India,190535,93322,91819,5394
83,02/06/2020,India,198706,97581,95527,5598
84,03/06/2020,India,207615,101497,100303,5815
85,04/06/2020,India,216919,106737,104107,6075
86,05/06/2020,India,226770,110960,109462,6348
87,06/06/2020,India,236657,115942,114073,6642
88,07/06/2020,India,246628,120406,119293,6929
89,08/06/2020,India,256611,125381,124095,7135
90,09/06/2020,India,266598,129917,129215,7466
91,10/06/2020,India,276583,133632,135206,7745
92,11/06/2020,India,286579,137448,141029,8102
93,12/06/2020,India,297535,141842,147195,8498
94,13/06/2020,India,308993,145779,154330,8884
95,14/06/2020,India,320922,149348,162379,9195
96,15/06/2020,India,332424,153106,169798,9520
97,16/06/2020,India,343091,153178,180013,9900
98,17/06/2020,India,354065,155227,186935,11903
99,18/06/2020,India,366946,160384,194325,12237
100,19/06/2020,India,380532,163248,204711,12573
101,20/06/2020,India,395048,168269,213831,12948
102,21/06/2020,India,410461,169451,227756,13254
103,22/06/2020,India,425282,174387,237196,13699
104,23/06/2020,India,440215,178014,248190,14011
105,24/06/2020,India,456183,183022,258685,14476
106,25/06/2020,India,473105,186514,271697,14894
107,26/06/2020,India,490401,189463,285637,15301
108,27/06/2020,India,508953,197387,295881,15685
109,28/06/2020,India,528859,203051,309713,16095
110,29/06/2020,India,548318,210120,321723,16475
111,30/06/2020,India,566840,215125,334822,16893
112,01/07/2020,India,585493,220114,347979,17400
113,02/07/2020,India,604641,226947,359860,17834
114,03/07/2020,India,625544,227439,379892,18213
115,04/07/2020,India,648315,235433,394227,18655
116,05/07/2020,India,673165,244814,409083,19268
117,06/07/2020,India,697413,253287,424433,19693
118,07/07/2020,India,719665,259557,439948,20160
119,08/07/2020,India,742417,264944,456831,20642
120,09/07/2020,India,767296,269789,476378,21129
121,10/07/2020,India,793802,276685,495513,21604
122,11/07/2020,India,820916,283407,515386,22123
123,12/07/2020,India,849553,292258,534621,22674
124,13/07/2020,India,878254,301609,553471,23174
125,14/07/2020,India,906752,311565,571460,23727
126,15/07/2020,India,936181,319840,592032,24309
127,16/07/2020,India,968876,331146,612815,24915
128,17/07/2020,India,1003832,342473,635757,25602
129,18/07/2020,India,1038716,358692,653751,26273
130,19/07/2020,India,1077618,373379,677423,26816
131,20/07/2020,India,1118043,390459,700087,27497
132,21/07/2020,India,1155191,402529,724578,28084
133,22/07/2020,India,1192915,411133,753050,28732
134,23/07/2020,India,1238635,426167,782607,29861
135,24/07/2020,India,1287945,440135,817209,30601
136,25/07/2020,India,1336861,456071,849432,31358
137,26/07/2020,India,1385522,467882,885577,32063
138,27/07/2020,India,1435453,485114,917568,32771
139,28/07/2020,India,1483156,496988,952743,33425
140,29/07/2020,India,1531669,509447,988029,34193
141,30/07/2020,India,1583792,528242,1020582,34968
142,31/07/2020,India,1638870,545318,1057805,35747
143,01/08/2020,India,1695988,565103,1094374,36511
144,02/08/2020,India,1750723,567730,1145629,37364
145,03/08/2020,India,1803695,579357,1186203,38135
146,04/08/2020,India,1855745,586298,1230509,38938
147,05/08/2020,India,1908254,586244,1282215,39795
148,06/08/2020,India,1964536,595501,1328336,40699
149,07/08/2020,India,2027074,607384,1378105,41585
150,08/08/2020,India,2088611,619088,1427005,42518
151,09/08/2020,India,2153010,628747,1480884,43379
152,10/08/2020,India,2215074,634945,1535743,44386
153,11/08/2020,India,2268675,639929,1583489,45257
154,12/08/2020,India,2329638,643948,1639599,46091
155,13/08/2020,India,2396637,653622,1695982,47033
156,14/08/2020,India,2461190,661595,1751555,48040
157,15/08/2020,India,2526192,668220,1808936,49036
158,16/08/2020,India,2589682,677444,1862258,49980
159,17/08/2020,India,2647663,676900,1919842,50921
160,18/08/2020,India,2702742,673166,1977779,51797
161,19/08/2020,India,2767273,676514,2037870,52889
162,20/08/2020,India,2836925,686395,2096664,53866
163,21/08/2020,India,2905823,692028,2158946,54849
164,22/08/2020,India,2975701,697330,2222577,55794
165,23/08/2020,India,3044940,707668,2280566,56706
166,24/08/2020,India,3106348,710771,2338035,57542
167,25/08/2020,India,3167323,704348,2404585,58390
168,26/08/2020,India,3234474,707267,2467758,59449
169,27/08/2020,India,3310234,725991,2523771,60472
170,28/08/2020,India,3387500,742023,2583948,61529
171,29/08/2020,India,3463972,752424,2648998,62550
172,30/08/2020,India,3542733,765302,2713933,63498
173,31/08/2020,India,3621245,781975,2774801,64469
174,01/09/2020,India,3691166,785996,2839882,65288
175,02/09/2020,India,3769523,801282,2901908,66333
176,03/09/2020,India,3853406,815538,2970492,67376
177,04/09/2020,India,3936747,831124,3037151,68472
178,05/09/2020,India,4023179,846395,3107223,69561
179,06/09/2020,India,4113811,862320,3180865,70626
180,07/09/2020,India,4204613,882542,3250429,71642
181,08/09/2020,India,4280422,883697,3323950,72775
182,09/09/2020,India,4370128,897394,3398844,73890
183,10/09/2020,India,4465863,919018,3471783,75062
184,11/09/2020,India,4562414,943480,3542663,76271
185,12/09/2020,India,4659984,958316,3624196,77472
186,13/09/2020,India,4754356,973175,3702595,78586
187,14/09/2020,India,4846427,986598,3780107,79722
188,15/09/2020,India,4930236,990061,3859399,80776
189,16/09/2020,India,5020359,995933,3942360,82066
190,17/09/2020,India,5118253,1009976,4025079,83198
191,18/09/2020,India,5214677,1017754,4112551,84372
192,19/09/2020,India,5308014,1013964,4208431,85619
193,20/09/2020,India,5400619,1010824,4303043,86752
194,21/09/2020,India,5487580,1003299,4396399,87882
195,22/09/2020,India,5562663,975861,4497867,88935
196,23/09/2020,India,5646010,968377,4587613,90020
197,24/09/2020,India,5732518,966382,4674987,91149
198,25/09/2020,India,5818570,970116,4756164,92290
199,26/09/2020,India,5903932,960969,4849584,93379
200,27/09/2020,India,5992532,956402,4941627,94503
201,28/09/2020,India,6074702,962640,5016520,95542
202,29/09/2020,India,6145291,947576,5101397,96318
203,30/09/2020,India,6225763,940441,5187825,97497
204,01/10/2020,India,6312584,940705,5273201,98678
205,02/10/2020,India,6394068,942217,5352078,99773
206,03/10/2020,India,6473544,944996,5427706,100842
207,04/10/2020,India,6549373,937625,5509966,101782
208,05/10/2020,India,6623815,934427,5586703,102685
209,06/10/2020,India,6685082,919023,5662490,103569
210,07/10/2020,India,6757131,907883,5744693,104555
211,08/10/2020,India,6835655,902425,5827704,105526
212,09/10/2020,India,6906151,893592,5906069,106490
213,10/10/2020,India,6979423,883185,5988822,107416
214,11/10/2020,India,7053806,867496,6077976,108334
215,12/10/2020,India,7120538,861853,6149535,109150
216,13/10/2020,India,7175880,838729,6227295,109856
217,14/10/2020,India,7239389,826876,6301927,110586
218,15/10/2020,India,7307097,812390,6383441,111266
219,16/10/2020,India,7370468,804528,6453779,112161
220,17/10/2020,India,7432680,795087,6524595,112998
221,18/10/2020,India,7494551,783311,6597209,114031
222,27/03/2020,Andaman and Nicobar Islands,1,1,0,0
223,28/03/2020,Andaman and Nicobar Islands,6,6,0,0
224,29/03/2020,Andaman and Nicobar Islands,9,9,0,0
225,30/03/2020,Andaman and Nicobar Islands,9,9,0,0
226,31/03/2020,Andaman and Nicobar Islands,10,10,0,0
227,01/04/2020,Andaman and Nicobar Islands,10,10,0,0
228,02/04/2020,Andaman and Nicobar Islands,10,10,0,0
229,03/04/2020,Andaman and Nicobar Islands,10,10,0,0
230,04/04/2020,Andaman and Nicobar Islands,10,10,0,0
231,05/04/2020,Andaman and Nicobar Islands,10,10,0,0
232,06/04/2020,Andaman and Nicobar Islands,10,10,0,0
233,07/04/2020,Andaman and Nicobar Islands,10,10,0,0
234,08/04/2020,Andaman and Nicobar Islands,10,10,0,0
235,09/04/2020,Andaman and Nicobar Islands,11,11,0,0
236,10/04/2020,Andaman and Nicobar Islands,11,11,0,0
237,11/04/2020,Andaman and Nicobar Islands,11,11,0,0
238,12/04/2020,Andaman and Nicobar Islands,11,1,10,0
239,13/04/2020,Andaman and Nicobar Islands,11,1,10,0
240,14/04/2020,Andaman and Nicobar Islands,11,1,10,0
241,15/04/2020,Andaman and Nicobar Islands,11,1,10,0
242,16/04/2020,Andaman and Nicobar Islands,11,1,10,0
243,17/04/2020,Andaman and Nicobar Islands,11,1,10,0
244,18/04/2020,Andaman and Nicobar Islands,12,1,11,0
245,19/04/2020,Andaman and Nicobar Islands,14,3,11,0
246,20/04/2020,Andaman and Nicobar Islands,15,4,11,0
247,21/04/2020,Andaman and Nicobar Islands,16,5,11,0
248,22/04/2020,Andaman and Nicobar Islands,16,5,11,0
249,23/04/2020,Andaman and Nicobar Islands,18,7,11,0
250,24/04/2020,Andaman and Nicobar Islands,22,11,11,0
251,25/04/2020,Andaman and Nicobar Islands,27,16,11,0
252,26/04/2020,Andaman and Nicobar Islands,33,22,11,0
253,27/04/2020,Andaman and Nicobar Islands,33,22,11,0
254,28/04/2020,Andaman and Nicobar Islands,33,22,11,0
255,29/04/2020,Andaman and Nicobar Islands,33,18,15,0
256,30/04/2020,Andaman and Nicobar Islands,33,18,15,0
257,01/05/2020,Andaman and Nicobar Islands,33,17,16,0
258,02/05/2020,Andaman and Nicobar Islands,33,17,16,0
259,03/05/2020,Andaman and Nicobar Islands,33,17,16,0
260,04/05/2020,Andaman and Nicobar Islands,33,1,32,0
261,05/05/2020,Andaman and Nicobar Islands,33,1,32,0
262,06/05/2020,Andaman and Nicobar Islands,33,1,32,0
263,07/05/2020,Andaman and Nicobar Islands,33,1,32,0
264,08/05/2020,Andaman and Nicobar Islands,33,0,33,0
265,09/05/2020,Andaman and Nicobar Islands,33,0,33,0
266,10/05/2020,Andaman and Nicobar Islands,33,0,33,0
267,11/05/2020,Andaman and Nicobar Islands,33,0,33,0
268,12/05/2020,Andaman and Nicobar Islands,33,0,33,0
269,13/05/2020,Andaman and Nicobar Islands,33,0,33,0
270,14/05/2020,Andaman and Nicobar Islands,33,0,33,0
271,15/05/2020,Andaman and Nicobar Islands,33,0,33,0
272,16/05/2020,Andaman and Nicobar Islands,33,0,33,0
273,17/05/2020,Andaman and Nicobar Islands,33,0,33,0
274,18/05/2020,Andaman and Nicobar Islands,33,0,33,0
275,19/05/2020,Andaman and Nicobar Islands,33,0,33,0
276,20/05/2020,Andaman and Nicobar Islands,33,0,33,0
277,21/05/2020,Andaman and Nicobar Islands,33,0,33,0
278,22/05/2020,Andaman and Nicobar Islands,33,0,33,0
279,23/05/2020,Andaman and Nicobar Islands,33,0,33,0
280,24/05/2020,Andaman and Nicobar Islands,33,0,33,0
281,25/05/2020,Andaman and Nicobar Islands,33,0,33,0
282,26/05/2020,Andaman and Nicobar Islands,33,0,33,0
283,27/05/2020,Andaman and Nicobar Islands,33,0,33,0
284,28/05/2020,Andaman and Nicobar Islands,33,0,33,0
285,29/05/2020,Andaman and Nicobar Islands,33,0,33,0
286,30/05/2020,Andaman and Nicobar Islands,33,0,33,0
287,31/05/2020,Andaman and Nicobar Islands,33,0,33,0
288,01/06/2020,Andaman and Nicobar Islands,33,0,33,0
289,02/06/2020,Andaman and Nicobar Islands,33,0,33,0
290,03/06/2020,Andaman and Nicobar Islands,33,0,33,0
291,04/06/2020,Andaman and Nicobar Islands,33,0,33,0
292,05/06/2020,Andaman and Nicobar Islands,33,0,33,0
293,06/06/2020,Andaman and Nicobar Islands,33,0,33,0
294,07/06/2020,Andaman and Nicobar Islands,33,0,33,0
295,08/06/2020,Andaman and Nicobar Islands,33,0,33,0
296,09/06/2020,Andaman and Nicobar Islands,33,0,33,0
297,10/06/2020,Andaman and Nicobar Islands,33,0,33,0
298,11/06/2020,Andaman and Nicobar Islands,34,1,33,0
299,12/06/2020,Andaman and Nicobar Islands,38,5,33,0
300,13/06/2020,Andaman and Nicobar Islands,38,5,33,0
301,14/06/2020,Andaman and Nicobar Islands,38,5,33,0
302,15/06/2020,Andaman and Nicobar Islands,38,5,33,0
303,16/06/2020,Andaman and Nicobar Islands,41,8,33,0
304,17/06/2020,Andaman and Nicobar Islands,44,11,33,0
305,18/06/2020,Andaman and Nicobar Islands,44,11,33,0
306,19/06/2020,Andaman and Nicobar Islands,44,11,33,0
307,20/06/2020,Andaman and Nicobar Islands,45,10,35,0
308,21/06/2020,Andaman and Nicobar Islands,47,11,36,0
309,22/06/2020,Andaman and Nicobar Islands,48,11,37,0
310,23/06/2020,Andaman and Nicobar Islands,48,11,37,0
311,24/06/2020,Andaman and Nicobar Islands,50,10,40,0
312,25/06/2020,Andaman and Nicobar Islands,56,13,43,0
313,26/06/2020,Andaman and Nicobar Islands,59,16,43,0
314,27/06/2020,Andaman and Nicobar Islands,72,29,43,0
315,28/06/2020,Andaman and Nicobar Islands,72,29,43,0
316,29/06/2020,Andaman and Nicobar Islands,76,31,45,0
317,30/06/2020,Andaman and Nicobar Islands,90,44,46,0
318,01/07/2020,Andaman and Nicobar Islands,97,47,50,0
319,02/07/2020,Andaman and Nicobar Islands,100,50,50,0
320,03/07/2020,Andaman and Nicobar Islands,109,58,51,0
321,04/07/2020,Andaman and Nicobar Islands,116,62,54,0
322,05/07/2020,Andaman and Nicobar Islands,119,53,66,0
323,06/07/2020,Andaman and Nicobar Islands,125,53,72,0
324,07/07/2020,Andaman and Nicobar Islands,141,67,74,0
325,08/07/2020,Andaman and Nicobar Islands,147,72,75,0
326,09/07/2020,Andaman and Nicobar Islands,149,72,77,0
327,10/07/2020,Andaman and Nicobar Islands,151,68,83,0
328,11/07/2020,Andaman and Nicobar Islands,156,64,92,0
329,12/07/2020,Andaman and Nicobar Islands,163,70,93,0
330,13/07/2020,Andaman and Nicobar Islands,163,70,93,0
331,14/07/2020,Andaman and Nicobar Islands,166,57,109,0
332,15/07/2020,Andaman and Nicobar Islands,166,57,109,0
333,16/07/2020,Andaman and Nicobar Islands,176,46,130,0
334,17/07/2020,Andaman and Nicobar Islands,180,47,133,0
335,18/07/2020,Andaman and Nicobar Islands,194,52,142,0
336,19/07/2020,Andaman and Nicobar Islands,198,53,145,0
337,20/07/2020,Andaman and Nicobar Islands,203,58,145,0
338,21/07/2020,Andaman and Nicobar Islands,207,55,152,0
339,22/07/2020,Andaman and Nicobar Islands,212,53,159,0
340,23/07/2020,Andaman and Nicobar Islands,221,58,163,0
341,24/07/2020,Andaman and Nicobar Islands,240,70,170,0
342,25/07/2020,Andaman and Nicobar Islands,259,85,174,0
343,26/07/2020,Andaman and Nicobar Islands,290,114,176,0
344,27/07/2020,Andaman and Nicobar Islands,324,142,182,0
345,28/07/2020,Andaman and Nicobar Islands,338,145,192,1
346,29/07/2020,Andaman and Nicobar Islands,363,166,196,1
347,30/07/2020,Andaman and Nicobar Islands,428,225,201,2
348,31/07/2020,Andaman and Nicobar Islands,471,266,201,4
349,01/08/2020,Andaman and Nicobar Islands,548,329,214,5
350,02/08/2020,Andaman and Nicobar Islands,636,403,226,7
351,03/08/2020,Andaman and Nicobar Islands,734,484,242,8
352,04/08/2020,Andaman and Nicobar Islands,830,557,263,10
353,05/08/2020,Andaman and Nicobar Islands,928,639,277,12
354,06/08/2020,Andaman and Nicobar Islands,1027,687,326,14
355,07/08/2020,Andaman and Nicobar Islands,1123,752,355,16
356,08/08/2020,Andaman and Nicobar Islands,1222,778,425,19
357,09/08/2020,Andaman and Nicobar Islands,1351,831,500,20
358,10/08/2020,Andaman and Nicobar Islands,1490,822,648,20
359,11/08/2020,Andaman and Nicobar Islands,1625,896,709,20
360,12/08/2020,Andaman and Nicobar Islands,1764,994,749,21
361,13/08/2020,Andaman and Nicobar Islands,1900,1050,829,21
362,14/08/2020,Andaman and Nicobar Islands,2037,1091,924,22
363,15/08/2020,Andaman and Nicobar Islands,2186,1130,1032,24
364,16/08/2020,Andaman and Nicobar Islands,2306,1154,1128,24
365,17/08/2020,Andaman and Nicobar Islands,2399,1145,1226,28
366,18/08/2020,Andaman and Nicobar Islands,2445,1091,1325,29
367,19/08/2020,Andaman and Nicobar Islands,2529,1078,1421,30
368,20/08/2020,Andaman and Nicobar Islands,2604,1045,1529,30
369,21/08/2020,Andaman and Nicobar Islands,2680,1011,1638,31
370,22/08/2020,Andaman and Nicobar Islands,2747,971,1744,32
371,23/08/2020,Andaman and Nicobar Islands,2808,923,1853,32
372,24/08/2020,Andaman and Nicobar Islands,2860,864,1963,33
373,25/08/2020,Andaman and Nicobar Islands,2904,777,2092,35
374,26/08/2020,Andaman and Nicobar Islands,2945,677,2231,37
375,27/08/2020,Andaman and Nicobar Islands,2985,635,2309,41
376,28/08/2020,Andaman and Nicobar Islands,3018,602,2374,42
377,29/08/2020,Andaman and Nicobar Islands,3050,564,2444,42
378,30/08/2020,Andaman and Nicobar Islands,3081,518,2519,44
379,31/08/2020,Andaman and Nicobar Islands,3104,473,2586,45
380,01/09/2020,Andaman and Nicobar Islands,3132,439,2647,46
381,02/09/2020,Andaman and Nicobar Islands,3160,400,2714,46
382,03/09/2020,Andaman and Nicobar Islands,3186,381,2758,47
383,04/09/2020,Andaman and Nicobar Islands,3223,352,2823,48
384,05/09/2020,Andaman and Nicobar Islands,3257,345,2863,49
385,06/09/2020,Andaman and Nicobar Islands,3292,338,2904,50
386,07/09/2020,Andaman and Nicobar Islands,3332,331,2951,50
387,08/09/2020,Andaman and Nicobar Islands,3359,312,2997,50
388,09/09/2020,Andaman and Nicobar Islands,3392,307,3035,50
389,10/09/2020,Andaman and Nicobar Islands,3426,297,3078,51
390,11/09/2020,Andaman and Nicobar Islands,3465,293,3121,51
391,12/09/2020,Andaman and Nicobar Islands,3494,286,3157,51
392,13/09/2020,Andaman and Nicobar Islands,3521,268,3202,51
393,14/09/2020,Andaman and Nicobar Islands,3546,252,3243,51
394,15/09/2020,Andaman and Nicobar Islands,3557,227,3278,52
395,16/09/2020,Andaman and Nicobar Islands,3574,204,3318,52
396,17/09/2020,Andaman and Nicobar Islands,3593,196,3345,52
397,18/09/2020,Andaman and Nicobar Islands,3604,174,3378,52
398,19/09/2020,Andaman and Nicobar Islands,3631,165,3414,52
399,20/09/2020,Andaman and Nicobar Islands,3644,156,3436,52
400,21/09/2020,Andaman and Nicobar Islands,3651,147,3452,52
401,22/09/2020,Andaman and Nicobar Islands,3673,152,3469,52
402,23/09/2020,Andaman and Nicobar Islands,3691,160,3479,52
403,24/09/2020,Andaman and Nicobar Islands,3712,166,3494,52
404,25/09/2020,Andaman and Nicobar Islands,3744,189,3503,52
405,26/09/2020,Andaman and Nicobar Islands,3759,179,3528,52
406,27/09/2020,Andaman and Nicobar Islands,3774,171,3551,52
407,28/09/2020,Andaman and Nicobar Islands,3794,188,3553,53
408,29/09/2020,Andaman and Nicobar Islands,3803,168,3582,53
409,30/09/2020,Andaman and Nicobar Islands,3821,181,3587,53
410,01/10/2020,Andaman and Nicobar Islands,3835,174,3608,53
411,02/10/2020,Andaman and Nicobar Islands,3848,172,3623,53
412,03/10/2020,Andaman and Nicobar Islands,3858,174,3631,53
413,04/10/2020,Andaman and Nicobar Islands,3868,173,3642,53
414,05/10/2020,Andaman and Nicobar Islands,3884,182,3649,53
415,06/10/2020,Andaman and Nicobar Islands,3899,186,3659,54
416,07/10/2020,Andaman and Nicobar Islands,3912,180,3678,54
417,08/10/2020,Andaman and Nicobar Islands,3935,185,3696,54
418,09/10/2020,Andaman and Nicobar Islands,3952,190,3707,55
419,10/10/2020,Andaman and Nicobar Islands,3976,197,3724,55
420,11/10/2020,Andaman and Nicobar Islands,3992,193,3744,55
421,12/10/2020,Andaman and Nicobar Islands,4005,186,3764,55
422,13/10/2020,Andaman and Nicobar Islands,4023,198,3770,55
423,14/10/2020,Andaman and Nicobar Islands,4036,199,3782,55
424,15/10/2020,Andaman and Nicobar Islands,4046,195,3796,55
425,16/10/2020,Andaman and Nicobar Islands,4062,190,3817,55
426,17/10/2020,Andaman and Nicobar Islands,4072,185,3831,56
427,18/10/2020,Andaman and Nicobar Islands,4083,179,3848,56
428,12/03/2020,Andhra Pradesh,1,1,0,0
429,13/03/2020,Andhra Pradesh,1,1,0,0
430,14/03/2020,Andhra Pradesh,1,1,0,0
431,15/03/2020,Andhra Pradesh,1,1,0,0
432,16/03/2020,Andhra Pradesh,1,1,0,0
433,17/03/2020,Andhra Pradesh,1,1,0,0
434,18/03/2020,Andhra Pradesh,1,1,0,0
435,19/03/2020,Andhra Pradesh,1,1,0,0
436,20/03/2020,Andhra Pradesh,2,2,0,0
437,21/03/2020,Andhra Pradesh,3,3,0,0
438,22/03/2020,Andhra Pradesh,5,5,0,0
439,23/03/2020,Andhra Pradesh,7,7,0,0
440,24/03/2020,Andhra Pradesh,7,7,0,0
441,25/03/2020,Andhra Pradesh,8,8,0,0
442,26/03/2020,Andhra Pradesh,11,10,1,0
443,27/03/2020,Andhra Pradesh,12,11,1,0
444,28/03/2020,Andhra Pradesh,14,13,1,0
445,29/03/2020,Andhra Pradesh,14,13,1,0
446,30/03/2020,Andhra Pradesh,19,18,1,0
447,31/03/2020,Andhra Pradesh,40,39,1,0
448,01/04/2020,Andhra Pradesh,83,82,1,0
449,02/04/2020,Andhra Pradesh,86,84,1,1
450,03/04/2020,Andhra Pradesh,132,130,1,1
451,04/04/2020,Andhra Pradesh,161,159,1,1
452,05/04/2020,Andhra Pradesh,161,159,1,1
453,06/04/2020,Andhra Pradesh,226,222,1,3
454,07/04/2020,Andhra Pradesh,266,262,1,3
455,08/04/2020,Andhra Pradesh,305,300,1,4
456,09/04/2020,Andhra Pradesh,348,338,6,4
457,10/04/2020,Andhra Pradesh,348,338,6,4
458,11/04/2020,Andhra Pradesh,363,350,7,6
459,12/04/2020,Andhra Pradesh,381,364,11,6
460,13/04/2020,Andhra Pradesh,427,409,11,7
461,14/04/2020,Andhra Pradesh,432,414,11,7
462,15/04/2020,Andhra Pradesh,483,458,16,9
463,16/04/2020,Andhra Pradesh,525,491,20,14
464,17/04/2020,Andhra Pradesh,534,500,20,14
465,18/04/2020,Andhra Pradesh,572,522,36,14
466,19/04/2020,Andhra Pradesh,603,546,42,15
467,20/04/2020,Andhra Pradesh,646,589,42,15
468,21/04/2020,Andhra Pradesh,722,610,92,20
469,22/04/2020,Andhra Pradesh,757,639,96,22
470,23/04/2020,Andhra Pradesh,813,669,120,24
471,24/04/2020,Andhra Pradesh,895,727,141,27
472,25/04/2020,Andhra Pradesh,955,781,145,29
473,26/04/2020,Andhra Pradesh,1061,859,171,31
474,27/04/2020,Andhra Pradesh,1097,835,231,31
475,28/04/2020,Andhra Pradesh,1183,917,235,31
476,29/04/2020,Andhra Pradesh,1259,970,258,31
477,30/04/2020,Andhra Pradesh,1332,1014,287,31
478,01/05/2020,Andhra Pradesh,1403,1051,321,31
479,02/05/2020,Andhra Pradesh,1463,1027,403,33
480,03/05/2020,Andhra Pradesh,1525,1051,441,33
481,04/05/2020,Andhra Pradesh,1583,1062,488,33
482,05/05/2020,Andhra Pradesh,1650,1090,524,36
483,06/05/2020,Andhra Pradesh,1717,1092,589,36
484,07/05/2020,Andhra Pradesh,1777,1012,729,36
485,08/05/2020,Andhra Pradesh,1847,1029,780,38
486,09/05/2020,Andhra Pradesh,1887,1004,842,41
487,10/05/2020,Andhra Pradesh,1930,999,887,44
488,11/05/2020,Andhra Pradesh,1980,1010,925,45
489,12/05/2020,Andhra Pradesh,2018,998,975,45
490,13/05/2020,Andhra Pradesh,2090,988,1056,46
491,14/05/2020,Andhra Pradesh,2137,948,1142,47
492,15/05/2020,Andhra Pradesh,2205,965,1192,48
493,16/05/2020,Andhra Pradesh,2307,1007,1252,48
494,17/05/2020,Andhra Pradesh,2355,953,1353,49
495,18/05/2020,Andhra Pradesh,2407,901,1456,50
496,19/05/2020,Andhra Pradesh,2474,872,1552,50
497,20/05/2020,Andhra Pradesh,2532,859,1621,52
498,21/05/2020,Andhra Pradesh,2602,909,1640,53
499,22/05/2020,Andhra Pradesh,2647,885,1709,53
500,23/05/2020,Andhra Pradesh,2709,891,1763,55
501,24/05/2020,Andhra Pradesh,2757,892,1809,56
502,25/05/2020,Andhra Pradesh,2823,911,1856,56
503,26/05/2020,Andhra Pradesh,3110,1158,1896,56
504,27/05/2020,Andhra Pradesh,3171,1105,2009,57
505,28/05/2020,Andhra Pradesh,3171,1056,2057,58
506,29/05/2020,Andhra Pradesh,3251,1067,2125,59
507,30/05/2020,Andhra Pradesh,3436,1150,2226,60
508,31/05/2020,Andhra Pradesh,3569,1220,2289,60
